experiment,feature,model,target,seed,n_samples,RMSE,MAE,R2,Pearson_R,Spearman_R,MAPE,sMAPE,NRMSE
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,KSOL,6,1026,83.4647775829235,62.26220851327695,0.47431752802056093,0.6892825833298785,0.6630829422129056,87.3835757143227,68.9936585544776,0.5724607962947112
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,KSOL,7,1026,83.62930900243339,61.97880068739906,0.47066868464967493,0.6862617093676617,0.6682212969840814,83.22281902651818,67.22006823648847,0.5649342173438952
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,KSOL,8,1026,82.24528904187115,60.678590262425885,0.47962534303172544,0.6958953708389762,0.6873575084956561,96.04606631053146,67.78099393854038,0.5790223346479352
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,KSOL,9,1026,81.02131550509168,60.01478648044296,0.5023749929016341,0.7090175839409446,0.6928835963611453,78.42518684739598,67.68370942365209,0.5491722350992329
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,0,1008,0.6706310882886185,0.5092748560806204,0.6617750608273432,0.8137782123991957,0.7960949862631357,21.250726130992188,32.25573163645198,0.30549355430410957
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,1,1008,0.7344504875461413,0.5586441601545621,0.6227112247331397,0.790420988414159,0.7831067086479059,21.972751901539546,34.446221092790694,0.33394654310652205
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,2,1008,0.7488261938926692,0.5535530901813911,0.6354426781797963,0.7978186081202678,0.7857265481097919,22.532701543478247,36.05159902976805,0.34468094589208037
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,3,1008,0.7073529825528779,0.5287963574897591,0.6361128282614572,0.7980384107551567,0.7842103621985841,21.354609163876543,32.88491678054174,0.32563564412699897
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,4,1008,0.6998860675280011,0.5363344861831848,0.6333302390584621,0.7958320783097479,0.7751609050814561,21.922043569295646,34.472835196738885,0.322965187710891
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,5,1008,0.7368564660088953,0.5575727513227513,0.5987292431868231,0.7788221466430159,0.7583403230166742,23.44518733756357,35.69528089106979,0.3404461281123205
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,6,1008,0.7260950070796593,0.5408532737202751,0.633371622111815,0.7975137914451635,0.7816743967291943,23.21299096048206,35.276130254663045,0.3426997083400068
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,7,1008,0.6979879896999301,0.5281734434217524,0.6630400872740949,0.8145688812012111,0.7969642464566166,21.881616343869997,35.43635040663876,0.3290640725804967
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,8,1008,0.7002783558433456,0.5233003604869183,0.6464074842395112,0.804167871040086,0.7893561804931494,22.33590771537549,33.602267962708005,0.326947930827761
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,LogD,9,1008,0.6875370952477196,0.5284572227905747,0.6680563904227845,0.8177126671846653,0.7983415506018586,21.461946687048915,34.92417879464418,0.3240006507606555
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,0,905,804.2566371784474,408.1395790366397,0.31991729448327033,0.5699150405570796,0.7431034638379627,161.7008309634256,78.05391446678138,1.4286010933497006
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,1,905,865.4960940720866,406.55863357162065,0.34357309239711487,0.5865506960330564,0.7384417047315216,167.49278311853425,79.81898848248564,1.5234723587164372
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,2,905,837.0091211386348,417.76827940568154,0.38393354330979834,0.6217538628263245,0.7260901017157998,171.776412051232,78.73655767114039,1.4072918144125746
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,3,905,791.6909307947259,404.61489099040125,0.36056294001892697,0.609109508862619,0.7290194538338562,177.06031272486385,80.56807293600473,1.402105569162105
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,4,905,864.5809919081591,420.1146366244912,0.35423004135171376,0.5985173096017337,0.7025519348812397,178.2443368967709,80.92208762538033,1.5120520299361575
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,5,905,871.9054895724848,417.49811097286806,0.28615680204725535,0.5382513925854477,0.7452604935662014,157.47777307501946,81.41310856451248,1.4832843019662365
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,6,905,685.9477336494125,360.7211966119749,0.33477981304344206,0.5800981428678401,0.746602297068001,149.3229734328853,78.5081104202424,1.2914080670997585
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,7,905,884.496670030363,419.9453701427149,0.3370824951724626,0.5863789655144156,0.731455599597015,176.5669983566296,80.3813614490018,1.5385350673037959
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,8,905,732.6901330387975,397.8202983133325,0.3415034058925218,0.5923702964994462,0.6993470977939984,176.6961697856419,78.98819707801198,1.3135108368651165
predictions_OpenADMET_Phase2_KNN,TOPOTOR,KNN,MLM CLint,9,905,767.6642357885777,370.284769284535,0.31274516625410065,0.5871618121184417,0.744366344396018,166.09062358049408,78.8471318916758,1.4879517587491662
